LfSn;NrLf;EAN;Produkt;Marke;Modell;Spezifikation;Hersteller;Farbe;Modelljahr;Wgr;EK_PL;UVP_PL;UAVP_PL;image;image-transparent;image-detail-1;image-detail-2;image-detail-3;Dimension (ABME);Fastening (BEFE);Brake light function (BREL);Gross weight (BRUT);Diameter (mm) (DURC);Colours for shop filters (FAF2);Manufacturer color (FARB);Colours for shop filters (FARF);High Beam (FEBE);Hazardous goods (GEFG);Weight ** (GEW);Size (parts) (GRTE);Colours (for webshops) (GRUF);Hersteller (HERS);Colours (for webshops) (HLF1); Integrated large-area Z reflector (IGBE);Capacity indicator (KIBE);Length (LANG);Light source (LEUM);Scope of delivery (LIEF);Material (MATE);Stem material (MAVB);MonkeyLink Ready (MKBE);Net weight (NETT);close-range illumination (NFBE);NOS (NOS);Tilt angle (NWVB);Product type (PRAR);Categorie (PRGR);Stem length (mm) (RGVL);Sensor automation (SABE);ON/OFF switch (SALT);Shaft diameter (mm) (SDMR); parking light (STAN);StVZO approval (STBE);Power supply (STRO);Daytime running light (TAGF);Overvoltage protection (UBEZ)
"ZEG";"070-50507";"4002556871406";"Radschutz-Rücklicht";"MonkeyLink";"ML-FenderLight Rear Connect";"";"MonkeyLink";"Schwarz";"2017";"1261";"13.8600";"27.9900";"0.0000";"https://assets.zeg.de/1080916/hub_main/ZEG_070-50507.jpg";"https://assets.zeg.de/1080916/hub_transparent/ZEG_070-50507.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"E-Bike rear light";"";"";"";"";"";"";"";"";""
"ZEG";"070-50506";"4002556871390";"Rear light";"MonkeyLink";"ML-Light Rear Connect";"";"MonkeyLink";"Red";"2023";"12832";"15.5500";"32.9900";"0.0000";"https://assets.zeg.de/1359259/hub_main/ZEG_070-50506.jpg";"https://assets.zeg.de/1359259/hub_transparent/ZEG_070-50506.png";"";"";"";"";"MonkeyLink adapter plate";"no";"";"";"";"Red";"red";"";"";"";"";"red";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"no";"no";"";"LED";"";"Plastic";"";"";"39 g";"";"no";"";"lighting";"E-Bike rear light";"";"no";"";"";"no";"yes";"E-bike battery";"";"yes"
"ZEG";"060-76701";"4002556871314";"Radschützer Set";"MonkeyLink";"ML Fender Set Recharge, 26-29'";"";"MonkeyLink";"Schwarz";"2023";"12614";"44.4000";"79.9900";"0.0000";"https://assets.zeg.de/1951574/hub_main/ZEG_060-76701_main.jpg";"https://assets.zeg.de/1951574/hub_transparent/ZEG_060-76701_main.png";"https://assets.zeg.de/1951550/hub_main/ZEG_060-76701_detail_01.jpg";"https://assets.zeg.de/1951555/hub_main/ZEG_060-76701_detail_02.jpg";"https://assets.zeg.de/1951562/hub_main/ZEG_060-76701_detail_03.jpg";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"26 - 29 inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"Mudguard set";"";"";"";"";"";"";"";"";""
"ZEG";"060-76700";"4002556871307";"Radschützer Set";"MonkeyLink";"ML Fender Set Connect, 26-29''";"";"MonkeyLink";"Schwarz";"2023";"12611";"44.6000";"79.9900";"0.0000";"https://assets.zeg.de/1951544/hub_main/ZEG_060-76700_main.jpg";"https://assets.zeg.de/1951544/hub_transparent/ZEG_060-76700_main.png";"https://assets.zeg.de/1951519/hub_main/ZEG_060-76700_detail_01.jpg";"https://assets.zeg.de/1951525/hub_main/ZEG_060-76700_detail_02.jpg";"https://assets.zeg.de/1951531/hub_main/ZEG_060-76700_detail_03.jpg";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"26 - 29 inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"Front mudguard";"";"";"";"";"";"";"";"";""
"ZEG";"060-76699";"4002556868154";"Radschützer";"MonkeyLink";"ML Fender Ersatzhalter Recharge";"";"SKS";"Schwarz";"2019";"12611";"8.6000";"14.9900";"0.0000";"https://assets.zeg.de/1951513/hub_main/ZEG_060-76699_main.jpg";"https://assets.zeg.de/1951513/hub_transparent/ZEG_060-76699_main.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"Accessories mudguards";"";"";"";"";"";"";"";"";""
"ZEG";"060-76698";"4002556868086";"Radschützer";"MonkeyLink";"ML Fender Ersatzhalter Connect";"";"SKS";"Schwarz";"2019";"12611";"14.1500";"24.9900";"0.0000";"https://assets.zeg.de/1951507/hub_main/ZEG_060-76698_main.jpg";"https://assets.zeg.de/1951507/hub_transparent/ZEG_060-76698_main.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"Accessories mudguards";"";"";"";"";"";"";"";"";""
"ZEG";"060-76697";"4002556917555";"Radschützer";"MonkeyLink";"ML-Fender front";"";"SKS";"Schwarz";"2023";"12611";"24.9700";"44.9500";"0.0000";"https://assets.zeg.de/1951501/hub_main/ZEG_060-76697_main.jpg";"https://assets.zeg.de/1951501/hub_transparent/ZEG_060-76697_main.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"26 - 29 inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"Front mudguard";"";"";"";"";"";"";"";"";""
"ZEG";"060-76696";"4002556917548";"Radschützer";"MonkeyLink";"ML-Fender Rear Recharge";"";"SKS";"Schwarz";"2023";"12611";"27.7500";"49.9500";"0.0000";"https://assets.zeg.de/1951495/hub_main/ZEG_060-76696_main.jpg";"https://assets.zeg.de/1951495/hub_transparent/ZEG_060-76696_main.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"26 - 29 inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"Front mudguard";"";"";"";"";"";"";"";"";""
"ZEG";"060-76695";"";"Radschützer";"MonkeyLink";"ML- Fender";"";"SKS";"Schwarz";"2023";"12611";"27.7500";"49.9500";"0.0000";"https://assets.zeg.de/1951489/hub_main/ZEG_060-76695_main.jpg";"https://assets.zeg.de/1951489/hub_transparent/ZEG_060-76695_main.png";"";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"26 / 27.5 / 29 inch";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"Mudguards";"Rear mudguard";"";"";"";"";"";"";"";"";""
"ZEG";"060-54505";"";"Seat clamp";"MonkeyLink";"SC ML-1 38";"";"";"Schwarz";"2022";"1274";"13.8600";"24.9900";"0.0000";"https://assets.zeg.de/1666364/hub_main/ZEG_060-54505.jpg";"https://assets.zeg.de/1666364/hub_transparent/ZEG_060-54505.png";"https://assets.zeg.de/1666383/hub_main/ZEG_060-54505_detail_1.jpg";"";"";"";"";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Plastic";"";"";"";"";"no";"";"Seat posts";"Seat post accessories";"";"";"";"";"";"";"";"";""
